,Dextran 500 kg/mol (wt%),PEO 20 kg/mol (wt%),Phase_Separation
0,1.58679,3.71712,1
1,1.38178,3.23689,1
2,1.29728,3.03894,0
3,1.20456,2.82173,0
4,3.64558,3.35089,1
5,3.13074,2.87767,1
6,2.81218,2.58486,0
7,2.27246,2.08877,0
8,9.28402,1.31721,1
9,8.72442,1.23782,1
10,8.22631,1.16715,1
11,7.78391,1.10438,1
12,7.38533,1.04783,0
13,0.72502,3.78497,1
14,0.6981,3.64441,1
15,0.6748,3.5228,1
16,0.65137,3.40048,0
17,0.62949,3.28625,0
18,0.53764,2.80676,0
19,5.57247,3.01346,1
20,5.17735,2.79979,1
21,4.83665,2.61554,1
22,4.53533,2.45259,1
23,4.27035,2.3093,1
24,4.03463,2.18183,1
25,3.82377,2.0678,0
26,6.30611,2.78651,1
27,5.68038,2.51001,1
28,5.4138,2.39222,1
29,5.16949,2.28427,1
30,4.9452,2.18516,1
31,4.74114,2.09499,1
32,4.55262,2.01169,1
33,4.37885,1.9349,0
34,2.97006,3.69982,1
35,2.86826,3.57301,1
36,2.77408,3.45568,1
37,2.68498,3.3447,1
38,2.60135,3.24051,1
39,2.52324,3.14322,1
40,2.45051,3.05262,1
41,2.38186,2.96709,1
42,2.31648,2.88565,1
43,2.25503,2.80911,0
44,7.8682,2.05895,1
45,7.56537,1.9797,1
46,7.28555,1.90648,1
47,7.02569,1.83848,1
48,6.78663,1.77592,1
49,6.55923,1.71642,1
50,6.34806,1.66116,1
51,6.14887,1.60903,1
52,5.96498,1.56091,1
53,5.79106,1.5154,0
54,9.2948,1.22329,1
55,9.02642,1.18797,1
56,8.77131,1.1544,1
57,8.53046,1.1227,1
58,8.30455,1.09297,1
59,8.08834,1.06451,1
60,7.88455,1.03769,1
61,7.6896,1.01203,1
62,7.5048,0.98771,0
63,1.60603,3.51195,1
64,1.49901,3.27792,1
65,1.40293,3.06782,0
66,1.31883,2.88393,0
