,Sodium Citrate (wt%),PEO 8 kg/mol (wt%),Phase_Separation
0,14.39094,12.94952,1
1,13.31245,11.97905,1
2,12.15627,10.93867,1
3,11.18533,10.06498,1
4,10.3521,9.31521,0
5,12.09308,23.3117,1
6,10.75072,20.72405,1
7,9.70847,18.71491,1
8,8.89349,17.14389,1
9,8.17621,15.76119,1
10,7.56397,14.58097,0
11,7.09271,26.25974,1
12,6.64917,24.61762,1
13,6.25952,23.175,1
14,5.91168,21.88717,1
15,5.60017,20.73384,0
16,5.39124,30.90735,1
17,5.19975,29.80957,1
18,5.02069,28.78307,1
19,4.85372,27.82585,1
20,4.69689,26.92673,1
21,4.55009,26.08514,0
22,17.61732,5.57964,1
23,16.66992,5.27958,1
24,15.82288,5.01131,1
25,15.05591,4.76841,1
26,14.36154,4.54849,1
27,13.72624,4.34728,1
28,13.14337,4.16268,1
29,12.6085,3.99328,0
30,7.84858,18.34559,1
31,7.66583,17.91843,1
32,7.49387,17.51649,1
33,7.32828,17.12943,1
34,7.16888,16.75683,0
35,14.11377,10.16295,1
36,13.35932,9.61969,1
37,12.68613,9.13494,1
38,12.06902,8.69058,1
39,11.51358,8.29062,1
40,11.00248,7.92259,1
41,10.53621,7.58684,0
42,5.10485,27.88325,1
43,4.93866,26.97553,1
44,4.78169,26.11812,1
45,4.63423,25.31271,0
46,4.36,23.66,0
