,Group,Label,Dextran 10 kg/mol (wt%),PEO 10 kg/mol (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,C,B7,0.9359459904495308,8.112300345792853,0,0
1,C,B3,0.9444034109984558,4.072382998724233,0,0
2,B,A4,0.9548032998109135,6.52331788290022,0,0
3,C,B4,0.9669725378474178,5.563984496637625,0,0
4,B,A5,0.972885689295566,1.9831124268317295,0,0
5,C,B5,0.986798679867987,6.085808580858086,0,0
6,F,F1,0.9972041006523765,11.977100252962321,1,1
7,B,A2,0.99791273233277,9.95957989596793,0,1
8,C,B6,1.0158454525721727,6.857123774857659,0,0
9,A,A2,1.0876042908224077,4.537892332141438,0,0
10,F,F4,1.9710636632032232,8.031709266478543,0,1
11,B,A8,1.995715337751891,6.53578362455647,0,1
12,B,A9,2.000669904538603,4.9589683470105514,0,0
13,F,F5,2.002883515900767,10.053858774008583,1,1
14,F,F3,2.01565229074298,6.943436786242106,0,1
15,D,E10,2.016032860739367,5.024181794090367,0,0
16,D,D2,2.0161437962885915,4.521261546142965,0,0
17,D,D5,2.0240285027757063,5.994200016571381,0,1
18,B,A10,2.031690613669934,1.965556599973144,0,0
19,D,D1,2.045954574779574,4.047906568956676,0,0
20,F,F2,2.0501238037877263,5.479154118985478,0,0
21,B,A6,2.0694735079936386,12.005356993387462,1,1
22,D,D10,3.9658294104091913,4.026401553807157,0,0
23,F,F7,3.97333739362872,5.5582060261550685,0,1
24,F,F8,3.974818337072631,6.925961892643069,1,1
25,D,E4,4.000931919921452,7.991213326454877,1,1
26,B,B1,4.027766162080789,4.959437986116919,0,1
27,B,B2,4.04434559913735,1.9787033292896612,0,0
28,B,A11,4.0612783587824515,9.990978649470412,1,1
29,B,A12,4.067310418438652,5.975217224529277,0,1
30,F,F6,4.123473314371759,4.426635435837376,0,0
31,D,E5,5.955364721154326,4.054787225190141,0,0
32,B,B3,5.959238950914977,8.334874810068046,1,1
33,D,E8,6.027406383722672,5.507251202983731,0,1
34,B,B6,6.040656658530877,1.976662543047243,0,0
35,B,B5,6.044759952673766,4.4280024662967215,0,0
36,F,F10,6.046303656597774,5.981717011128776,1,1
37,F,F9,6.077449202043568,4.924198299246143,0,1
38,B,B8,7.99886289526931,4.432032909148677,0,1
39,B,B9,8.003359932801343,1.9601847963040737,0,0
40,F,F11,8.021746697386089,3.496046808440105,0,0
41,F,G1,8.035327445425763,4.932511248125312,1,1
42,E,D5,8.064328747116326,6.02260468358422,1,1
43,F,F12,8.118572698753546,3.8950494052911475,0,0
44,B,B7,8.129327936306158,7.94299668818787,1,1
45,B,B12,10.007207630030676,1.9044905211284138,0,0
46,B,B10,10.049862048332946,8.07133597048167,1,1
47,E,D7,10.052565458873312,3.9966278762232217,0,0
48,E,D10,10.058950157310813,6.002649445272397,1,1
49,E,D9,10.072629589095614,5.002155672735715,1,1
50,B,B11,10.089969115079898,4.445749966429434,0,1
51,E,E1,11.99600532623169,4.503661784287616,0,1
52,E,D11,12.012340994208971,3.5204830806289285,0,0
53,E,E3,12.01372007059842,5.993872589829831,1,1
54,E,D12,12.024893243735312,4.00211857393492,0,0
55,B,C1,12.044917650973215,7.9550823490267835,1,1
56,E,E2,12.046971445777087,5.0347100249243075,1,1
57,B,C2,12.094823253476294,1.9530909700117272,0,0
