,Group,Label,PEO 20 kg/mol (wt%),Dextran 500 kg/mol (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,A,C3,3.2660458092121822,0.49534356909136673,1,1
1,A,C2,3.0616442975652527,0.49639171781209956,0,1
2,A,A1,3.5696708451006622,0.55261028258105,1,1
3,A,C6,2.9000100357943333,0.9453718261800421,0,0
4,A,C8,3.534948928499901,0.9503304626477069,1,1
5,A,C5,2.564659636925844,0.9633473288163795,0,0
6,A,C7,3.039107268523173,0.9641097818437718,1,1
7,A,A2,2.53382084095064,1.0327405683895627,0,0
8,A,C9,2.0584857613634475,1.9126874490288437,0,0
9,A,C10,2.5604447123434464,1.9663786752394343,0,0
10,A,C12,3.0367325288423284,2.077310701498475,1,1
11,A,C11,2.8400787427846916,2.1060358346401524,1,1
12,A,D5,3.0396918439122422,2.9914587171328084,1,1
13,A,D3,2.4959557045412852,3.0603225429862744,1,1
14,A,D4,2.844705405952622,3.0819329148950523,1,1
15,A,D2,2.2646789372865834,3.0852002998251016,0,0
16,A,D7,1.8114360541248362,4.024107712453413,0,0
17,A,D8,2.0719611236852615,4.031753428305152,1,1
18,A,D9,2.2596975894323936,4.064102993931672,1,1
19,A,F3,1.6785366095477305,4.959928615099889,0,0
20,A,F2,1.2898065290206469,4.978586545351531,0,0
21,A,A7,1.448693499280672,5.046003546455218,0,0
22,A,F4,1.7738575268817207,5.059811827956989,1,1
23,A,F1,0.9773758621254567,5.0647925165053005,0,0
24,A,A6,1.02928245541269,5.103276648693488,0,0
25,A,F7,1.3001540625627972,5.962556098867975,1,1
26,A,F8,1.6105247460772458,5.966563385415803,1,1
27,A,A8,0.8039228767763026,5.991060110747883,0,0
28,A,F6,1.0330028611351387,6.052298888814958,0,0
29,A,A9,1.29351239393332,6.052983229772165,1,1
30,A,A10,0.493589955941299,7.85271805744195,0,0
31,A,A12,1.4065293689159661,7.936560492682604,1,1
32,A,F9,0.5396391288396758,7.974518894039956,0,0
33,A,F11,1.0460870423369188,8.028224612651732,1,1
34,A,F10,0.8326065078832606,8.031197584703119,1,1
35,A,G3,0.6180670873463965,9.859515111258718,1,1
36,A,B2,0.32616630167894356,9.935961244939943,0,0
37,A,G4,0.8095507675913284,10.050950747610642,1,1
38,A,B1,0.1822345660965746,10.075525020708472,0,0
39,B,B1,2.038967983423568,0.5206871198449301,0,0
40,B,B2,1.0457778222979064,0.6090353601121907,0,0
41,B,B3,2.007910656119125,1.1676527288439804,0,0
42,B,B4,1.0328027496913272,0.9790769846831516,0,0
43,B,B5,3.52714799631891,1.9824311888228898,1,1
44,B,B6,0.9588226297095662,2.10254405791683,0,0
45,B,B7,3.60319501793813,3.015975089690652,1,1
46,B,B8,1.0507331872577113,3.007921793359178,0,0
47,B,B9,3.5983998109481288,3.7408638995324344,1,1
48,B,B10,1.0328094204938805,4.2388910051508,0,0
49,B,B11,2.549184796075127,4.990666864892544,1,1
50,B,B12,3.5398376952055366,5.081899198433377,1,1
51,B,C1,3.5268313598733463,6.104093142913685,1,1
52,B,C2,2.4378302635355293,5.954113416507691,1,1
53,B,C3,3.567381457772726,7.765539603215725,1,1
54,B,C4,2.5110399460643853,8.116635766054273,1,1
55,B,C5,3.440030595786428,9.826235886862104,1,1
56,B,C6,2.466298712159224,9.705636394045827,1,1
